,fecha,rol,sexo,edad,id,n_victimas,hora,t_calle,calle,direccion,comuna,longitud,latitud,participantes,victima,acusado
368,2018-07-25,PEATON,MASCULINO,26,2018-0080,1,22:22:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.","ALBERDI, JUAN BAUTISTA AV. y CARHUE",9,-58.51232237,-34.65903530,PEATON-AUTO,PEATON,AUTO
369,2018-07-29,PEATON,MASCULINO,35,2018-0081,1,06:30:00,AVENIDA,CASTANARES AV.,CASTAÃ‘ARES AV. y RIVERA INDARTE AV.,7,-58.44744156,-34.64567171,MULTIPLE,PEATON,MULTIPLE
370,2018-08-01,CONDUCTOR,FEMENINO,17,2018-0082,1,15:53:00,AVENIDA,LARRAZABAL,"LARRAZABAL y GARZON, EUGENIO, GRAL. AV.",9,-58.49441273,-34.65869968,MOTO-CARGAS,MOTO,CARGAS
371,2018-08-02,CONDUCTOR,MASCULINO,43,2018-0083,1,05:20:00,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47976785,-34.69153196,MOTO-CARGAS,MOTO,CARGAS
372,2018-08-03,PEATON,MASCULINO,45,2018-0084,1,07:25:00,AVENIDA,"MOREAU DE JUSTO, ALICIA AV.","MOREAU DE JUSTO, ALICIA AV. y COCHABAMBA",1,-58.36523349,-34.62260331,PEATON-CARGAS,PEATON,CARGAS
373,2018-08-03,PASAJERO_ACOMPAÑANTE,FEMENINO,22,2018-0085,2,18:16:00,AVENIDA,ENTRE RIOS AV.,"ENTRE RIOS AV. y GARAY, JUAN DE AV.",3,-58.39118948,-34.62704273,MOTO-PASAJEROS,MOTO,PASAJEROS
374,2018-08-03,CONDUCTOR,MASCULINO,30,2018-0085,2,18:16:00,AVENIDA,ENTRE RIOS AV.,"ENTRE RIOS AV. y GARAY, JUAN DE AV.",3,-58.39118948,-34.62704273,MOTO-PASAJEROS,MOTO,PASAJEROS
375,2018-08-10,PEATON,MASCULINO,40,2018-0086,1,21:44:00,AVENIDA,DIRECTORIO AV.,DIRECTORIO AV. y GUARDIA NACIONAL,9,-58.49019551,-34.65015854,PEATON-PASAJEROS,PEATON,PASAJEROS
376,2018-08-15,PEATON,MASCULINO,75,2018-0087,1,19:20:00,AVENIDA,PAVON AV.,PAVON AV. y COLOMBRES,5,-58.41644362,-34.63023775,PEATON-PASAJEROS,PEATON,PASAJEROS
377,2018-08-17,CONDUCTOR,MASCULINO,32,2018-0088,1,16:36:00,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",12,-58.50073810,-34.54979510,MOTO-CARGAS,MOTO,CARGAS
